date,min,max,median,q1,q3,stdev,count,station,latitude,longitude
2019-12-13,15.16,255.77,34.53,21.03,98.56,83.694,193,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-14,6.75,70.45,25.34,14.08,47.86,18.561,175,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-15,32.54,769.79,155.93,96.87,478.88,221.718,572,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-16,91.95,715.28,249.69,172.01,434.3,154.865,254,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-17,449.32,528.61,467.33,462.62,501.06,22.608,51,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-18,12.96,299.75,50.86,27.37,101.9,49.952,396,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-19,3.9,224.77,85.44,64.34,117.3,36.985,527,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-20,4.73,156.8,28.54,13.84,59.58,31.835,309,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-22,13.5,358.56,79.64,30.32,222.35,108.883,503,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-23,31.38,499.2,125.07,77.48,277.91,123.418,567,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-24,75.73,756.86,275.39,156.03,511.54,182.946,461,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-26,38.35,588.0,181.11,131.13,255.19,116.785,494,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-27,11.35,511.08,94.03,50.92,165.08,99.465,570,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-28,21.32,639.95,125.28,60.14,287.72,168.886,520,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-29,23.74,493.98,124.98,69.19,240.56,121.827,585,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-30,23.17,281.52,112.74,86.79,168.76,55.891,580,Кара-Балтинская,42.8852634775,74.55434883468
2019-12-31,14.89,706.12,159.43,118.67,304.74,140.15,573,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-01,26.05,566.77,140.02,75.34,266.12,116.423,578,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-02,21.9,716.97,230.77,77.0,383.83,194.782,557,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-03,57.47,385.64,126.4,94.56,259.81,111.655,137,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-06,28.42,363.8,82.48,64.06,177.36,78.624,412,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-07,15.13,91.99,35.79,24.84,58.13,20.952,506,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-08,11.75,114.19,32.24,21.81,54.54,19.65,503,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-09,30.72,350.99,124.0,52.9,226.93,90.359,485,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-10,24.96,850.08,264.51,147.49,447.23,186.183,420,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-11,20.73,454.24,92.67,65.84,199.07,93.225,528,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-12,52.75,487.98,106.6,72.73,165.4,115.286,146,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-13,26.26,91.92,40.67,34.36,54.33,14.473,346,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-14,24.1,268.48,97.48,62.44,153.88,60.638,434,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-15,25.88,256.11,81.03,57.46,138.97,52.74,457,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-16,12.38,84.97,32.31,24.59,45.58,17.506,474,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-17,45.72,554.66,152.07,89.37,343.29,151.085,464,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-18,19.48,737.52,237.3,117.82,468.02,199.475,494,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-19,20.5,612.32,155.36,77.81,277.41,122.58,465,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-20,19.12,594.79,106.75,44.72,287.05,171.212,360,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-21,22.16,550.54,92.52,54.65,294.74,138.066,440,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-22,84.25,122.78,92.46,89.49,106.1,10.414,16,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-24,6.39,284.95,25.82,17.88,63.44,70.368,258,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-25,12.39,523.95,54.11,26.27,145.41,126.022,161,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-26,42.76,112.74,99.55,60.61,104.46,24.926,14,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-27,8.91,352.05,42.65,19.11,99.32,89.052,234,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-28,11.64,468.72,79.59,49.42,127.6,80.773,263,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-29,42.02,735.44,174.42,84.09,418.58,194.164,288,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-30,31.44,605.62,256.63,176.32,406.16,138.814,290,Кара-Балтинская,42.8852634775,74.55434883468
2020-01-31,40.74,680.66,251.1,120.41,290.52,143.912,285,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-01,20.72,612.74,96.54,52.72,322.66,151.352,153,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-02,32.53,66.34,49.44,32.53,66.34,16.91,2,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-03,12.89,247.87,42.66,25.08,134.6,69.538,290,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-04,11.17,436.4,77.09,35.33,174.44,116.051,247,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-05,13.22,305.92,70.51,32.34,134.72,77.489,210,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-06,13.88,533.41,38.29,20.58,81.34,122.258,174,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-07,21.33,346.86,112.12,57.82,226.85,93.557,183,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-08,7.0,250.56,52.15,28.73,111.83,53.826,105,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-09,7.85,306.0,23.39,16.11,53.06,43.404,352,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-10,4.12,47.68,13.61,9.52,18.85,7.447,335,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-11,11.48,231.94,76.29,53.54,132.69,52.292,355,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-12,42.24,252.82,84.31,69.31,104.54,37.683,254,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-13,19.16,196.39,54.72,38.59,90.58,34.512,334,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-14,9.14,644.19,57.84,19.38,126.97,131.455,254,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-15,24.55,97.74,48.63,30.8,56.7,18.79,76,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-17,19.64,380.72,71.88,40.52,124.65,73.696,309,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-18,8.56,85.81,34.13,23.74,43.96,17.107,300,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-19,16.71,289.85,80.22,34.95,196.99,87.292,438,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-20,45.0,341.54,91.7,62.51,143.32,63.764,303,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-21,13.85,419.04,119.78,70.15,189.87,83.972,349,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-22,9.77,81.31,22.13,17.27,31.06,12.882,408,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-23,14.06,104.82,24.66,17.29,38.97,24.486,99,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-24,30.22,266.55,70.59,47.91,138.97,54.824,496,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-25,6.89,338.99,49.62,14.12,80.04,80.774,375,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-26,5.38,138.44,14.17,8.65,30.59,33.825,334,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-27,2.74,72.44,24.66,13.51,33.89,13.18,391,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-28,21.36,381.83,52.96,32.84,155.49,94.779,521,Кара-Балтинская,42.8852634775,74.55434883468
2020-02-29,26.31,483.44,92.2,56.9,172.7,79.084,574,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-01,5.18,327.68,43.66,15.98,87.0,55.119,572,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-02,6.32,240.26,25.52,12.16,43.18,42.86,422,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-03,9.52,46.84,22.34,17.85,28.83,8.229,315,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-04,13.24,334.14,34.15,23.48,104.18,96.961,409,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-05,17.79,158.96,49.35,27.95,73.44,33.801,395,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-06,15.01,98.4,34.67,28.21,40.72,10.979,303,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-08,13.43,353.01,45.56,31.33,174.48,80.123,503,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-09,14.95,236.83,32.95,25.06,55.8,55.461,381,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-10,18.79,448.88,68.44,32.5,113.23,75.284,473,Кара-Балтинская,42.8852634775,74.55434883468
2020-03-11,22.58,334.56,94.58,37.53,181.67,88.855,521,Кара-Балтинская,42.8852634775,74.55434883468
